Product_Link,Product_Name,Product_Price,Shipping_Price,SKU
https://www.4wdsupacentre.com.au/products/kings-premium-camp-oven-stove-wood-fired-bbq-enclosed-firepit-steel-construction-for-camping-or-backyard-use.html,Kings Premium Camp Oven Stove | Wood-Fired BBQ | Enclosed Firepit | Steel Construction | For Camping or Backyard Use,199,20,AKCP-PCOS_01
https://www.4wdsupacentre.com.au/products/kings-universal-ute-tub-rack-3mm-zinc-powdercoated-steel-adjustable-height-width-easy-diy-install.html,Kings Universal Ute Tub Rack | 3mm Zinc Powdercoated Steel | Adjustable Height & Width | Easy DIY Install,279,,AKRR-TUBRACK_01
https://www.4wdsupacentre.com.au/products/kings-500w-pure-sine-wave-inverter-remote-compatible-incl-wiring.html,Kings 500W Pure Sine Wave Inverter | Remote Compatible | Incl. wiring,149,10,AKEP-INV500W_01
https://www.4wdsupacentre.com.au/products/kings-double-hammock-2m-x-1-5m-size-250kg-weight-rating-inc-tree-hanging-kit-and-transit-bag.html,Kings Double Hammock | 2m x 1.5m Size | 250kg Weight Rating | Inc. Tree-Hanging Kit & Transit Bag,39.95,10,AKAC-DOUBHAM_01
https://www.4wdsupacentre.com.au/products/kings-rock-light-kit-accessory-light-kit-white-orange-leds.html,Kings Rock Light Kit | 4x LED Lights | White + Orange LEDs | IP67 Rated,49.95,10,AKLL-ROCKLIGHTKIT_01
https://www.4wdsupacentre.com.au/products/kings-touch-pad-switch-panel-all-in-one-kit-easy-diy-install.html,Kings Touch Pad Switch Panel | All-in-one-kit |Easy DIY install,189,10,AKEP-SWCHPANTP_01
https://www.4wdsupacentre.com.au/products/kings-inverter-remote-switch-led-indicator-lights-for-kings-pure-sine-wave-inverters.html,Kings Inverter Remote Switch | LED Indicator lights | For Kings Pure Sine Wave Inverters,19.95,10,AKEP-INVREM_01
https://www.4wdsupacentre.com.au/products/kings-50a-wiring-kit-quick-connect-anderson-compatible-plug-includes-terminals-and-in-line-fuse.html,Kings 50A Wiring Kit | Quick Connect Anderson Compatible Plug | Includes terminals and in line fuse,79.95,10,AKEP-WIRINGKIT50A_01
https://www.4wdsupacentre.com.au/products/kings-3000w-pure-sine-wave-inverter-remote-compatible-incl-wiring.html,Kings 3000W Pure Sine Wave Inverter | Remote Compatible | Incl. wiring,399,10,AKEP-INV3000W_01
https://www.4wdsupacentre.com.au/products/kings-18lb-electric-trolling-motor-two-speed-forward-and-reverse-suits-kings-kayaks.html,Kings 18lb Electric Trolling Motor | Two-Speed | Forward and Reverse | To Suit Adventure Kings Kayaks,129,12,AKTA-KAYMOT18LB_01
https://www.4wdsupacentre.com.au/products/kings-outdoor-bluetooth-speaker-6-hour-playtime-5w-speaker-ipx5.html,Kings Outdoor Bluetooth Speaker | 6 Hour Playtime | 5W Speaker | IPX5,39.95,10,AKEP-BLUSPEAK_01
https://www.4wdsupacentre.com.au/products/adventure-kings-battery-box-12v-2x-usb-cig-socket.html,Kings Battery Box Portable 12V | Lithium Compatible | 2x USB & Cig Socket,64.95,10,AKEP-BATT_BOX
https://www.4wdsupacentre.com.au/products/adventure-kings-self-inflating-foam-mattress-single-100mm-thick.html,Kings Single Self-Inflating Foam Mattress | 100mm Thick | Great at camp or home,99,10,AKTA-INFLAT_MATT_S
https://www.4wdsupacentre.com.au/products/adventure-kings-self-inflating-queen-foam-mattress.html,Queen-Sized Self Inflating Foam Mattress | 100mm Thick | Fits Big Daddy swags,99,15,AKTA-IMQUEEN001
https://www.4wdsupacentre.com.au/products/adventure-kings-awning-tent-suits-2m-x-2-5m-awning-waterproof.html,Awning Tent (suits 2m x 2.5m Awning) Waterproof | Enclosed floor and roof |Adventure Kings,189,12,AKTA-AT2X2.5_001
https://www.4wdsupacentre.com.au/products/adventure-kings-awning-tent-suits-2-5m-x-2-5m-awning-waterproof.html,Kings Tent for 2.5x2.5m Awning | Waterproof | Fully Enclosed | Bucket Floor,209,12,AKTA-AT2.5X2.5_001
https://www.4wdsupacentre.com.au/products/adventure-kings-awning-tent-suits-2m-x-3m-awning-waterproof.html,Adventure Kings Awning Tent (suits 2m x 3m Awning) | Waterproof,209,12,AKTA-AT2X3_001
https://www.4wdsupacentre.com.au/products/offroad-jack-48.html,"Hercules Offroad Jack 48""",109,10,HCRG-48JACK_01
https://www.4wdsupacentre.com.au/products/engine-data-scan-computer.html,Engine Data Scan (EDS) Computer | Scan Tool | Digital Gauge | Trip Computer | OBD2,69.95,10,FSWD-BD_EDS
https://www.4wdsupacentre.com.au/products/adventure-kings-dual-battery-system.html,Adventure Kings Dual Battery System Smart Isolator | Full DIY Kit,79.95,10,AKEP-DUAL_BATT
https://www.4wdsupacentre.com.au/products/adventure-kings-roof-top-tent.html,Kings Roof Top Tent | 75mm Mattress | 3 min setup | 1.3m height,999,,AKTA-RTT_TOURER
https://www.4wdsupacentre.com.au/products/adventure-kings-heavy-duty-jumper-leads-3-5m-long-750a-rating.html,Kings 750A Jumper Leads | Heavy Duty | 3.5m Long | Incl carry bag,39.95,10,AKEP-JUMPERLEADS
https://www.4wdsupacentre.com.au/products/adventure-kings-cyclone-drone.html,Cyclone Remote-Controlled Drone | App Connection | Digital Camera | Adventure Kings,99.95,10,AKEP-DRCYC01
https://www.4wdsupacentre.com.au/products/hercules-complete-recovery-kit-11-piece-snatch-winch-4wd-gear-adventure-kings.html,"Hercules Complete Recovery Kit - 11-piece | Snatch, Winch & 4WD Gear",149,15,AKRG-RKCOMP001
https://www.4wdsupacentre.com.au/products/kings-1500w-pure-sine-wave-inverter-safe-reliable-240v-power-in-your-vehicle-campsite.html,Kings 1500W Pure Sine Wave Inverter,229,10,AKEP-INV1500W001
https://www.4wdsupacentre.com.au/products/kings-45l-portable-12v-fridge-freezer-secop-compressor-68-can-capacity.html,45L Stayzcool Fridge Freezer |Massive 5 Year Warranty | Fits 70 Cans,649,55,AKFR-FR45L001
https://www.4wdsupacentre.com.au/products/60l-camping-fridge-88-can-capacity-secop-compressor-12v-240v.html,60L Stayzcool Fridge Freezer | Massive 5 Year Warranty,699,60,AKFR-FR60L001
https://www.4wdsupacentre.com.au/products/domin8r-x-12-000lb.html,"Domin8r X 12,000lb Winch | 5.7hp Motor | 218:1 Gearbox | 24m Synthetic Rope | Wired Controller",499,30,AKWI-DOMX001
https://www.4wdsupacentre.com.au/products/domin8r-xtreme-12-000lb-winch-our-toughest-winch-ever-7-2hp-motor-26m-synthetic-rope-wired-wireless-controller-adventure-kings.html,"Domin8r Xtreme 12,000lb Winch | 7.2hp Motor | 218:1 Ratio | 26m Synthetic Rope | Wired/Wireless Controller",599,30,AKWI-XTREME001
https://www.4wdsupacentre.com.au/products/kings-oversized-swag-bag-fits-all-double-swags-400gsm-canvas-heavy-duty-zippers-waterproof.html,Kings Oversized Swag Bag | Fits All Double Swags | 400GSM Canvas | Heavy-Duty Zippers | Waterproof,69.95,10,AKBG-SWAG_03
https://www.4wdsupacentre.com.au/products/adventure-kings-canvas-travel-bag-heavy-duty-zip-400gsm-ripstop-waterproof.html,Adventure Kings Canvas Travel Bag | Heavy Duty Zip | 400GSM ripstop & waterproof,49.95,10,AKBG-TRVL_02
https://www.4wdsupacentre.com.au/products/kings-roof-top-400gsm-ripstop-canvas-bag-heavy-duty-zips-handles-storage.html,Kings Roof Top 400GSM Ripstop Canvas Bag | Heavy-duty zips & handles | Storage,69.95,10,AKBG-GAZ_02
https://www.4wdsupacentre.com.au/products/kings-portable-firepit-bag-400gsm-ripstop-canvas-heavy-duty-handles.html,Kings Portable Firepit Bag | 400GSM Ripstop Canvas | Heavy-Duty Handles,29.95,10,AKBG-FIREPIT_01
https://www.4wdsupacentre.com.au/products/kings-premium-canvas-camping-toilet-bag-400gsm-heavy-duty-straps-pvc-base.html,Kings Premium Canvas Camping Toilet Bag | 400GSM | Heavy Duty Straps | PVC Base,49.95,10,AKBG-CMPTLT_01
https://www.4wdsupacentre.com.au/products/adventure-kings-156l-storage-box.html,Adventure Kings 156L Storage Box,249,22,AKAC-SB156L_01
https://www.4wdsupacentre.com.au/products/2-5-x-2-5-2-in-1-awning-strip-light-upf50-led-light-mounting-kit-included.html,Kings 2.5x2.5m Awning w/LED Light | Suits All Vehicles | UPF50+ | Inc. Mounting Kit,99,,AKTA-AWN-I-2.5X2.5_LIGHT
https://www.4wdsupacentre.com.au/products/titan-rear-drawer-unit-1070mm.html,Titan Drawer System - 1070mm (without wings) | Suitable for most 4WD Wagons | Inc. Fridge Slide,299,,TTRD-DRAWER_1070
https://www.4wdsupacentre.com.au/products/titan-drawer-system-900mm-without-wings-suitable-for-prado-120.html,Titan 900mm Vehicle Drawers | Pair | Incl fridge slide | Suites Prado 120 and similar,269,,TTRD-DRAWER_900
https://www.4wdsupacentre.com.au/products/titan-rear-drawer-unit-1300mm-ute-drawer.html,Titan 1300mm Drawers Suitable for Utes | Pair | incl Fridge Slide | Suits single and dual cab,379,,TTRD-DRAWER_1300
https://www.4wdsupacentre.com.au/products/camp-fire-bbq.html,Camp Fire BBQ Plate | Combo Grill and Hotplate | Campfire Cooking | Adventure Kings,59,10,AKTA-BBQ_PLT
https://www.4wdsupacentre.com.au/products/titan-single-ute-drawer-1300mm-lockable-diy-steel-frame.html,Titan 1300mm Single Ute Drawer | Lockable | Steel Frame | Heavy Duty,299,,TTRD-DRAWER_1300_SINGLE
https://www.4wdsupacentre.com.au/products/titan-single-drawer-900mm-lockable-diy-steel-frame.html,Titan 900mm Single Drawer | Lockable | Steel Frame | Heavy Duty,199,,TTRD-DRAWER_SINGLE
https://www.4wdsupacentre.com.au/products/adventure-kings-gazebo-tent-weatherproof-mosquito-netting-high-roof.html,Gazebo Tent - Weatherproof Mosquito Netting | Adventure Kings,199,10,AKTA-GAZ_3X3_TENT
https://www.4wdsupacentre.com.au/products/adventure-kings-gazebo-mosquito-net.html,Kings 3x3m Gazebo Mosquito Net | Mozzie & Midgee Proof | Fits Most 3x3m Gazebos,159,10,AKTA-GAZ_3X3_MESH
https://www.4wdsupacentre.com.au/products/roof-top-tent-rack-universal-steel2.html,Steel Roof Top Tent Rack for Gutter Mount Vehicles | Incl mounting brackets | Powdercoated,449,,AKRR-RTTRG
https://www.4wdsupacentre.com.au/products/steel-roof-top-tent-rack-suitable-for-100-105-series-landcruiser2.html,Steel Roof Top Tent Rack Suitable For 100/105 Series LandCruiser,499,,AKRR-RTTR100
https://www.4wdsupacentre.com.au/products/steel-roof-rack-3-4-length.html,Steel Roof Rack 3/4 Length,399,,AKRR-3QTRG
https://www.4wdsupacentre.com.au/products/steel-roof-rack-1-2-length.html,Steel Roof Rack 1/2 Length,329,,AKRR-HALFG
https://www.4wdsupacentre.com.au/products/tz-cab-single.html,Kings Steel Single Cab Roof Rack | Inc. Gutter Mounts | Heavy-Duty Steel | Powder coated,269,,AKRR-CABSINGLEG
https://www.4wdsupacentre.com.au/products/adventure-kings-campfire-cooking-grill-bbq-combo-swing-away-packs-flat.html,Kings Campfire Cooking BBQ | Swinging Hotplate and Grill Combo | Centre pole Design | Strong Steel,89,10,AKTA-SWING_BBQ
https://www.4wdsupacentre.com.au/products/adventure-kings-action-camera-1080p-full-hd-2-screen-30m-waterproof.html,"Adventure Kings Action Camera | 1080P Full HD | 2"" Screen | 30m Waterproof",49.95,10,AKEP-ACT_CAM_1080
https://www.4wdsupacentre.com.au/products/2-x-2-5-2-in-1-awning-strip-light-upf50-led-light-mounting-kit-included.html,2 x 2.5m 2 in 1 Awning + LED Strip Light - UPF50+ | Waterproof | Suits All Vehicles | Adventure Kings,99,,AKTA-AWN-H-2x2.5_LIGHT
https://www.4wdsupacentre.com.au/products/essential-nylon-recovery-kit-7-piece.html,Hercules Essential Recovery Kit - 7-piece | Winch & Snatch Recoveries,79,15,AKRG-RKESS001
https://www.4wdsupacentre.com.au/products/adventure-kings-dash-camera-1080p-150-view-loop-recording.html,High-Def Dash Camera | 1080P | 150° View | Loop Recording,59.95,10,AKEP-DASHCAM01
https://www.4wdsupacentre.com.au/products/adventure-kings-reverse-camera-kit-with-5-screen-150-angle-diy-install.html,"Kings Reverse Camera Kit | 5"" Screen | 150° Angle | DIY Install",89.95,10,AKEP-REVKIT01
https://www.4wdsupacentre.com.au/products/kings-78l-tough-tool-box-huge-capacity-weather-resistant-strong-handles-cargo-case-tools-storage.html,Kings 78L Tough Storage Box | Huge Capacity | Weather Resistant | Strong Handles | Cargo Case | Tools Storage,129,18,AKAC-SB78L001
https://www.4wdsupacentre.com.au/products/titan-100l-fridge-slide.html,Fridge Slide Large | Rated to 110kg | Dual Locking Runners,229,25,AKFR-FS100L001
https://www.4wdsupacentre.com.au/products/135ah-agm-deep-cycle-battery-5x-faster-recharging-sealed-maintenance-free-adventure-kings.html,138Ah 12V Deep Cycle Battery | 5x Faster Recharging | Maintenance-Free | Up to 1800 Cycles,349,,AKEP_SC12-138
https://www.4wdsupacentre.com.au/products/adventure-kings-fire-pit.html,Kings Portable Steel Fire Pit | Easy Setup | Use Anywhere,79,10,AKTA-FIREPIT001
https://www.4wdsupacentre.com.au/products/270-king-wing-awning-integrated-pole-system-11sqm-sheltered-area-1min-setup-ultra-high-quality-adventure-kings.html,"Kings 270° Wing Awning | 11sqm Sheltered Area | 1min Setup | Waterproof, UPF50+ ripstop",249,30,AKTA-AWN270_01
https://www.4wdsupacentre.com.au/products/kings-400gsm-canvas-toiletry-bag-storage-organisation-heavy-duty-zip-handle.html,Kings 3.3L Canvas Bag | Storage | 400GSM  | Organisation | Heavy-duty zip & handle,29.95,10,AKBG-TLT_02
